structure_id,n_atoms,strength,trials,reference_energy,base_prediction,mean_perturbed_energy,std_perturbed_energy,mean_energy_change,std_energy_change,mean_sensitivity,std_sensitivity,mae_from_reference,rmse_from_reference,avg_bond_length,min_bond_length
structure_243,1,9,15,-1555.517765910345,-1553.1954,-1553.0894,0.14803313,0.106193036,0.14803313,0.20021091763304094,0.143460657355308,2.4285808,2.432788,2.669811472824366,2.605129466710772
structure_243,2,2,15,-1555.517765910345,-1553.1954,-1553.1578,0.061280087,0.037711587,0.061280087,0.3983878292955377,0.48010131940714873,2.3600993,2.3608415,2.669811472824366,2.605129466710772
structure_243,2,5,15,-1555.517765910345,-1553.1954,-1553.17,0.10059447,0.025431314,0.10059446,0.15904112998318068,0.21937771738061296,2.347819,2.3498294,2.669811472824366,2.605129466710772
structure_243,2,9,15,-1555.517765910345,-1553.1954,-1552.967,0.15118454,0.22834472,0.15118453,0.3208024799568818,0.1919446879813768,2.5507324,2.5549104,2.669811472824366,2.605129466710772
structure_243,3,2,15,-1555.517765910345,-1553.1954,-1553.1617,0.057893217,0.033707682,0.057893217,0.3379916672742213,0.47357829325071116,2.3560953,2.356759,2.669811472824366,2.605129466710772
structure_243,3,5,15,-1555.517765910345,-1553.1954,-1553.1556,0.13033691,0.039916992,0.13033691,0.2513875925540597,0.24972516520029556,2.3623047,2.3656583,2.669811472824366,2.605129466710772
structure_243,3,9,15,-1555.517765910345,-1553.1954,-1552.8433,0.19710594,0.35225424,0.19710594,0.4857147788395955,0.2612761165140054,2.6746418,2.681412,2.669811472824366,2.605129466710772
structure_243,1,2,15,-1555.517765910345,-1553.1954,-1553.1652,0.056049008,0.030330403,0.056048978,0.2646230901708616,0.4879766118794592,2.352718,2.353341,2.669811472824366,2.605129466710772
structure_243,1,5,15,-1555.517765910345,-1553.1954,-1553.1703,0.1002959,0.025317382,0.10029589,0.14998250441253652,0.22508983766850615,2.3477051,2.3497038,2.669811472824366,2.605129466710772
structure_243,1,9,15,-1555.517765910345,-1553.1954,-1553.0894,0.14803313,0.106193036,0.14803313,0.20021091763304094,0.143460657355308,2.4285808,2.432788,2.669811472824366,2.605129466710772
structure_243,2,2,15,-1555.517765910345,-1553.1954,-1553.1578,0.061280087,0.037711587,0.061280087,0.3983878292955377,0.48010131940714873,2.3600993,2.3608415,2.669811472824366,2.605129466710772
structure_243,2,5,15,-1555.517765910345,-1553.1954,-1553.17,0.10059447,0.025431314,0.10059446,0.15904112998318068,0.21937771738061296,2.347819,2.3498294,2.669811472824366,2.605129466710772
structure_243,2,9,15,-1555.517765910345,-1553.1954,-1552.967,0.15118454,0.22834472,0.15118453,0.3208024799568818,0.1919446879813768,2.5507324,2.5549104,2.669811472824366,2.605129466710772
structure_243,3,2,15,-1555.517765910345,-1553.1954,-1553.1617,0.057893217,0.033707682,0.057893217,0.3379916672742213,0.47357829325071116,2.3560953,2.356759,2.669811472824366,2.605129466710772
structure_243,3,5,15,-1555.517765910345,-1553.1954,-1553.1556,0.13033691,0.039916992,0.13033691,0.2513875925540597,0.24972516520029556,2.3623047,2.3656583,2.669811472824366,2.605129466710772
