structure_id,n_atoms,strength,trials,reference_energy,base_prediction,mean_perturbed_energy,std_perturbed_energy,mean_energy_change,std_energy_change,mean_sensitivity,std_sensitivity,mae_from_reference,rmse_from_reference,avg_bond_length,min_bond_length
952.xyz,2,9,15,-1555.942376,-1553.5314,-1552.982,0.22233367,0.5493734,0.22233367,0.7538405865415171,0.3050823870442904,2.9603841,2.9681664,2.659729847145297,2.6181103049886256
952.xyz,3,2,15,-1555.942376,-1553.5314,-1553.4807,0.02088911,0.050520834,0.020889103,0.44173775845551533,0.18264754328381672,2.4615316,2.4616144,2.659729847145297,2.6181103049886256
952.xyz,3,5,15,-1555.942376,-1553.5314,-1553.3456,0.11266848,0.18568522,0.11266848,0.49164482073473814,0.2983160084361132,2.596696,2.5989761,2.659729847145297,2.6181103049886256
952.xyz,3,9,15,-1555.942376,-1553.5314,-1552.7704,0.2983288,0.7610433,0.2983288,1.04429037183704,0.40936156294404796,3.172054,3.1851206,2.659729847145297,2.6181103049886256
918.xyz,1,2,15,-1555.942374,-1553.5352,-1553.508,0.024917576,0.027034504,0.024917506,0.23652921034188853,0.2177105314901101,2.434261,2.43438,2.659662775422974,2.61807264
918.xyz,1,5,15,-1555.942374,-1553.5352,-1553.4403,0.0653577,0.09484863,0.0653577,0.2511401537706831,0.17305407228999786,2.5020752,2.5028718,2.659662775422974,2.61807264
918.xyz,1,9,15,-1555.942374,-1553.5352,-1553.2831,0.099844456,0.25195312,0.099844456,0.34573441454753895,0.13700827933349458,2.6591797,2.6609287,2.659662775422974,2.61807264
918.xyz,2,2,15,-1555.942374,-1553.5352,-1553.4978,0.023182297,0.03733724,0.023182292,0.3310270416698151,0.19462916854632376,2.4445639,2.4446664,2.659662775422974,2.61807264
918.xyz,2,5,15,-1555.942374,-1553.5352,-1553.4286,0.078769855,0.10651855,0.07876984,0.28203976599780956,0.2085667357530534,2.513745,2.5148966,2.659662775422974,2.61807264
918.xyz,2,9,15,-1555.942374,-1553.5352,-1553.0005,0.15038209,0.53447264,0.15038207,0.7334125778366978,0.20635687005198566,2.9416993,2.9452846,2.659662775422974,2.61807264
918.xyz,3,2,15,-1555.942374,-1553.5352,-1553.4963,0.020990973,0.038867187,0.020990912,0.33999295036508526,0.18325973313078495,2.4460938,2.446178,2.659662775422974,2.61807264
918.xyz,3,5,15,-1555.942374,-1553.5352,-1553.427,0.10063796,0.10813802,0.10063795,0.2913699836368233,0.26054723224699794,2.5153646,2.517243,2.659662775422974,2.61807264
918.xyz,3,9,15,-1555.942374,-1553.5352,-1552.77,0.19348085,0.7651042,0.19348085,1.049889105881829,0.265497750017627,3.1723306,3.1778328,2.659662775422974,2.61807264
934.xyz,1,2,15,-1555.942374,-1553.5325,-1553.5115,0.016181406,0.020914713,0.016181352,0.18287252335885723,0.14148529541040353,2.430827,2.4308772,2.659714417901075,2.618227928726061
934.xyz,1,5,15,-1555.942374,-1553.5325,-1553.4432,0.07007017,0.08937175,0.07007017,0.23663385821137645,0.18552813895727965,2.4992838,2.5002003,2.659714417901075,2.618227928726061
934.xyz,1,9,15,-1555.942374,-1553.5325,-1553.2357,0.10324808,0.2968506,0.10324808,0.4073355739812613,0.14167603832999115,2.7067628,2.7085998,2.659714417901075,2.618227928726061
934.xyz,2,2,15,-1555.942374,-1553.5325,-1553.5087,0.016159387,0.02377116,0.016159354,0.20784849833899688,0.14129295276167392,2.4336832,2.4337335,2.659714417901075,2.618227928726061
934.xyz,2,5,15,-1555.942374,-1553.5325,-1553.4489,0.09566136,0.08361003,0.09566136,0.2327553211072016,0.24211287697393152,2.4935222,2.4952343,2.659714417901075,2.618227928726061
934.xyz,2,9,15,-1555.942374,-1553.5325,-1552.983,0.23130666,0.5493571,0.23130666,0.7558773382465004,0.31211722543985937,2.9592693,2.9676943,2.659714417901075,2.618227928726061
934.xyz,3,2,15,-1555.942374,-1553.5325,-1553.5013,0.020521535,0.031184895,0.02052145,0.2726721826891599,0.17943394271966334,2.441097,2.4411776,2.659714417901075,2.618227928726061
934.xyz,3,5,15,-1555.942374,-1553.5325,-1553.4075,0.13328768,0.12496745,0.13328767,0.35932491527343957,0.32173509761070607,2.5348794,2.538148,2.659714417901075,2.618227928726061
934.xyz,3,9,15,-1555.942374,-1553.5325,-1552.7815,0.26468047,0.7509196,0.26468047,1.0330625129418665,0.35501072927143124,3.1608317,3.1711578,2.659714417901075,2.618227928726061
315.xyz,1,2,15,-1555.942373,-1553.5392,-1553.5203,0.023307303,0.018969726,0.023307247,0.16586958154789827,0.20379647527426165,2.422168,2.4222727,2.659658435073904,2.61830714
315.xyz,1,5,15,-1555.942373,-1553.5392,-1553.4594,0.051088616,0.07972819,0.051088616,0.21110459903041268,0.13527262741632973,2.4829264,2.4834168,2.659658435073904,2.61830714
315.xyz,1,9,15,-1555.942373,-1553.5392,-1553.2584,0.14661677,0.2806071,0.14661677,0.38505451558677944,0.20119037651337418,2.6838052,2.6875408,2.659658435073904,2.61830714
315.xyz,2,2,15,-1555.942373,-1553.5392,-1553.5084,0.023384988,0.03055013,0.023384966,0.26712758864470626,0.2044760273871144,2.4337485,2.4338531,2.659658435073904,2.61830714
